44: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 500 -M 0.2 -L 0.1 ', timeTakenToBuildModel=30.18, timeTakenToTestModelOnTrainingData=268.35, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
45: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=42.87, timeTakenToTestModelOnTrainingData=382.1, timeTakenToPerformCrossValidation=0.07, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
46: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=43.54, timeTakenToTestModelOnTrainingData=361.45, timeTakenToPerformCrossValidation=0.08, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
54: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.87, timeTakenToTestModelOnTrainingData=162.83, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
55: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.36, timeTakenToTestModelOnTrainingData=164.35, timeTakenToPerformCrossValidation=0.11, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
56: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.45, timeTakenToTestModelOnTrainingData=161.73, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
47: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 10 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=41.5, timeTakenToTestModelOnTrainingData=380.27, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
57: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=16.09, timeTakenToTestModelOnTrainingData=163.38, timeTakenToPerformCrossValidation=0.07, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
48: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=41.44, timeTakenToTestModelOnTrainingData=377.91, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
59: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=17.52, timeTakenToTestModelOnTrainingData=158.4, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
58: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.53, timeTakenToTestModelOnTrainingData=163.17, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
