title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-4 -E 500 -C 0.001 -S 4 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=29.68, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=29.99, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=31.71, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.01 -R 1.0E-5 -E 500 -C 0.001 -S 3 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.39, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.35, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-3 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=29.08, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=28.64, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-4 -E 500 -C 0.001 -S 2 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=30.25, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.02 -R 1.0E-5 -E 500 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=28.95, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
title='SGD', classifierOptions='Options: -F 0 -L 0.005 -R 1.0E-3 -E 700 -C 0.001 -S 1 ', timeTakenToBuildModel=0.06, timeTakenToTestModelOnTrainingData=40.83, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
